"REF_DATE","GEO","DGUID","Age (2)","Highest certificate, diploma or degree (16)","Major field of study - Classification of Instructional Programs (CIP) 2021 (500)","Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A)","Gender (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","9.1.1.1.149.1","1015","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","9.1.1.1.151.1","895","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","9.1.1.1.152.1","255","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","10.1.1.1.149.1","8685","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","10.1.1.1.151.1","7055","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","10.1.1.1.152.1","2090","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","11.1.1.1.149.1","6420","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","11.1.1.1.151.1","6710","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","11.1.1.1.152.1","2655","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","12.1.1.1.149.1","25","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","12.1.1.1.151.1","20","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","12.1.1.1.152.1","10","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","13.1.1.1.149.1","60","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21310 Electrical and electronics engineers","Total - Gender","","0","units","0","","13.1.1.1.151.1","25","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21301 Mechanical engineers","Total - Gender","","0","units","0","","14.1.1.1.149.1","10","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","21311 Computer engineers (except software engineers and designers)","Total - Gender","","0","units","0","","14.1.1.1.152.1","10","","","","0"


