"REF_DATE","GEO","DGUID","Age (2)","Highest certificate, diploma or degree (16)","Major field of study - Classification of Instructional Programs (CIP) 2021 (500)","Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A)","Gender (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Total - Gender","","0","units","0","","1.1.1.1.3.1","20630520","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Men+","","0","units","0","","1.1.1.1.3.2","10690035","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Women+","","0","units","0","","1.1.1.1.3.3","9940485","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","0 Legislative and senior management occupations","Total - Gender","","0","units","0","","1.1.1.1.4.1","267690","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","0 Legislative and senior management occupations","Men+","","0","units","0","","1.1.1.1.4.2","186230","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","0 Legislative and senior management occupations","Women+","","0","units","0","","1.1.1.1.4.3","81460","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","1 Business, finance and administration occupations","Total - Gender","","0","units","0","","1.1.1.1.10.1","3557055","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","1 Business, finance and administration occupations","Men+","","0","units","0","","1.1.1.1.10.2","1135350","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","1 Business, finance and administration occupations","Women+","","0","units","0","","1.1.1.1.10.3","2421705","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","2 Natural and applied sciences and related occupations","Total - Gender","","0","units","0","","1.1.1.1.105.1","1666685","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","2 Natural and applied sciences and related occupations","Men+","","0","units","0","","1.1.1.1.105.2","1257790","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","2 Natural and applied sciences and related occupations","Women+","","0","units","0","","1.1.1.1.105.3","408895","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","3 Health occupations","Total - Gender","","0","units","0","","1.1.1.1.202.1","1601710","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","3 Health occupations","Men+","","0","units","0","","1.1.1.1.202.2","315180","","","","0"
"2021","Canada","2021A000011124","Total - Age","Total - Highest certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","3 Health occupations","Women+","","0","units","0","","1.1.1.1.202.3","1286535","","","","0"
