"REF_DATE","GEO","DGUID","Age (2)","Highest certificate, diploma or degree (16)","Major field of study - Classification of Instructional Programs (CIP) 2021 (500)","Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A)","Gender (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Total - Gender","","0","units","0","","2.1.2.1.3.1","30430","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","0 Legislative and senior management occupations","Total - Gender","","0","units","0","","2.1.2.1.4.1","30","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","1 Business, finance and administration occupations","Total - Gender","","0","units","0","","2.1.2.1.10.1","925","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","2 Natural and applied sciences and related occupations","Total - Gender","","0","units","0","","2.1.2.1.105.1","80","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","3 Health occupations","Total - Gender","","0","units","0","","2.1.2.1.202.1","695","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","4 Occupations in education, law and social, community and government services","Total - Gender","","0","units","0","","2.1.2.1.268.1","2635","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","5 Occupations in art, culture, recreation and sport","Total - Gender","","0","units","0","","2.1.2.1.358.1","725","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","6 Sales and service occupations","Total - Gender","","0","units","0","","2.1.2.1.422.1","10300","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","7 Trades, transport and equipment operators and related occupations","Total - Gender","","0","units","0","","2.1.2.1.527.1","8310","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","8 Natural resources, agriculture and related production occupations","Total - Gender","","0","units","0","","2.1.2.1.671.1","3830","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","No certificate, diploma or degree","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","9 Occupations in manufacturing and utilities","Total - Gender","","0","units","0","","2.1.2.1.725.1","2915","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","High (secondary) school diploma or equivalency certificate","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","All occupations","Total - Gender","","0","units","0","","2.1.3.1.3.1","71640","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","High (secondary) school diploma or equivalency certificate","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","0 Legislative and senior management occupations","Total - Gender","","0","units","0","","2.1.3.1.4.1","260","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","High (secondary) school diploma or equivalency certificate","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","1 Business, finance and administration occupations","Total - Gender","","0","units","0","","2.1.3.1.10.1","6790","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","High (secondary) school diploma or equivalency certificate","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","2 Natural and applied sciences and related occupations","Total - Gender","","0","units","0","","2.1.3.1.105.1","1425","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","High (secondary) school diploma or equivalency certificate","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","3 Health occupations","Total - Gender","","0","units","0","","2.1.3.1.202.1","2520","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","High (secondary) school diploma or equivalency certificate","Total - Major field of study - Classification of Instructional Programs (CIP) 2021","4 Occupations in education, law and social, community and government services","Total - Gender","","0","units","0","","2.1.3.1.268.1","6805","","","","0"
